,tweets
257,vote . . . voice #wesigebesigye #ugandadecides https://t.co/f8zctxn4rx
258,"katuuso zone ( buziga ) n-z presidential election result - besigye : 317 m7 : 130 others : didn't hear , much shouting #ugandadecides"
259,"nb good number crunching graphic . , , early day worth quoting vote share yet #ugandadecides"
260,@ugandaec @ucc_official scripted don't want take blame #ugandadecides
261,"ugandan go bed swagger , dream swagger wakeup ( swagger ) #electiondayug #ugandadecides"
262,@nbstv starting doubt also ð ? ¸ ð ? ? ð ? ¸ ð ? ? #ugandadecides
263,""" [ besigye ] walked saw pre-ticking ballot paper . arrested took unknown place . "" #ugandadecides"
264,"expected , ghost couldn't win ! #ugandadecides #ugandaelections #besigyewon https://t.co/ipcnacqoru"
265,realize polling station ghost voter decide come kb . . . 10000 m7 . . . 0.0001 ð ? ¸ ð ? ? #ugandadecides
266,election result likely keep u #ugandadebate16 . can't seem wheel away twitter . #ugandadecides
267,"watching besigye arrest clip , think toyota valid reason sue uganda police #ugandadecides #ugandaelections"
268,thought still discussing #ugandadecides seems petition #kigundumustresign
269,#ugandadecides uganda : icglr team arrive monitor today's poll https://t.co/off4kod3mk
270,"ec like school admins used appoint hated student prefect , frustrate student . #ugandadecides"
271,ndorwa registered emphatic win @kagutamuseveni . #museveniwins #ugandadecides https://t.co/c2ckdjk9ru
272,would take uganda trillion usd pay popularity @kizzabesigye1 got one week worldwide #ugandadecides
273,@disembe anything everything credible day #ugandadecides
274,"rt "" @pyepar : m7 get 3000 + vote nakasongola uganda ec 2098 people registered area . . #ugandadecides https://t.co/hldp4jyaqj """
275,"meanwhile , dr wakida , @acme_uganda medium h'se carry exit poll ? #ugandadecides @cbukuwa @sheilakulubya @natabaalo @snamso"
276,"9 : 55 pm #provisionalresults : result 432 28,010 polling station tallied far ( 1.54 % ) #ugandadecides https://t.co/6vldnzrkby"
277,@bas_bossa lol ! #ugandadecides https://t.co/rkmlafzvaw
278,"hashtag read #ugandadecides , ? ð ? ¸ ð ?  @jssozi @essietala ion . . friend tweeting asks u bail ! ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? https://t.co/7ixhdwwwsr"
279,besigye arrested checking allegation vote-rigging ruling party . #ugandadecides
280,pastor ug @robertkayanja @jessicakayanja . hope u'll speak pipo beaten today . #ugandadecides
281,dear @ugandaec @ucc_official winter coming #ugandadecides #ugandaelections #got cc . @gameofthrones
282,don't think word #defiance ever trendy . defying sleep tonight #ugandadecides
283,report police sealed imperial royale hotel #fdc candidate @kizzabesigye1 currently engaged meeting . #ugandadecides
284,@arwakatungu @niyimic true spread word #ugandadecides
285,guy tweeting uganda illegally #ugandadecides
286,ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? ð ? ¸ ð ? ? cattle #ugandadecides https://t.co/uffxkcphtw
287,""" @yahboiselfie : museveni ghost voter scheduled start voting tonight #ugandadecides "" true sleep postponed sunday !"
288,". @kagutamuseveni , @nrmonline mp flag bearer take mubende district #ugandadecides"
289,@obuao silly . . . . don't divert u real thing $ ugandadecides . . mpozi #manutd playing #vipers kakungulu cup ?
290,#ugandadecides far ! ! https://t.co/vt9pqmrm3p
291,william ruto cabinet seat awaits uganda #ugandadecides
292,nb tv getting result ! ? ! somethings don't add . #ugandadecides
293,"seems jpam's result announce binary code , #ugandadecides"
294,"@nbstv station owned nrm cadre , please professional present result 4 rm area . . #ugandadecides #besigyewon"
295,thanks ucc skill advanced sijui vpn #ugandadecides
296,@mtnug explain shut social medium ? legal obligation ? @rosebellk @cipesaug #ugandadecides
297,. @ougasam swear count killed lol #votecounting #ugandadecides
298,latest uganda ? #ugandadecides
299,@nbstv releasing provisional result #ugandadecides https://t.co/wkuoa9vupr
300,whose ? ensure free fair election ? #uselessec #ugandadecides @bwesigye https://t.co/gnnykruxts
301,let first get rid sevo al come van gaal #ugandadecides #ggmu
302,message came fact #ugandadecides https://t.co/x5ptimu1fu
303,@ucc_official looking #ugandadecides tweet wondering didn't right . . . hehehe it's 21 st century baby
304,pipo gut say it's free fair #ugandadecides #wesigebyesigye https://t.co/99n7cywcdg
305,wait know also bypass #vpn blocking done isp ? ! #proxy ? ? #ugandadecides #internet #protection
306,seems like @nbstv preparing u much dreaded e . c announcement provisional tally . #ugandadecides
307,@nbstv @ntvuganda @bbcworld @kutieskosko @jssemak much violence koboko ! peace keeper ? medium ? #ugandadecides
308,5 year preparation #ugandadecides https://t.co/uej06mknyd
309,"#ugandadecides related news : "" @newyorker : social medium produce america ? ? ? new populism ? https://t.co/gafluear3e https://t.co/d9yyv5oodv """
310,moment truth ! ! ! thing getting bloody #ugandadecides
311,great @radoiwestug #ugandadecides programming ruined kazire juice ad claim cure everything zika . dodgy juju . x - (
312,@nbstv thanx live feed good work @kkariisa #ugandadecides
313,"karamoja issue , voted museveni . . muzeeyi put spell peasant . meanwhile urban centre . . . . #ugandadecides"
314,telecom head matter contesting directive . #ugandadecides https://t.co/ts3aq1gbif
315,@ugandaec @nbstv many people affected ? ( register ) another day lost wage many cannot afford . #ugandadecides
316,"#ugandadecides someone please tell @nbstv lady stop saying "" specifically "" "" trickling "" ! ! ! !"
317,"@_kosgey @bgm254 intimidated ugandan long , fear lead electing every year #ugandadecides"
318,wb play local music currently nothing election next kola ngomuddu program goosh #ugandadecides
